indx;name;lat;lon
31754;Тивяку;48.6;137.05
31770;Советская Гавань;48.96;140.33
31829;Золотой;47.31;138.98
31873;Дальнереченск;45.86;133.73
31909;Терней;45.03;136.66
31913;Турий Рог;45.21;131.98
31942;Самарка;44.75;134.2
31959;Рудная Пристань;44.36;135.85
31960;Владивосток;43.11;131.89
31981;Анучино;43.96;133.06
31989;Преображение;42.9;133.89
32061;Александровск-Сахалинский;50.9;142.16
32098;Поронайск;49.21;143.1
32150;Южно-Сахалинск;46.91;142.71
32227;Палана;59.08;159.97
32252;Усть-Воямполка;58.5;159.16
32389;Ключи;56.31;160.83
32411;Ича;55.7;155.63
32447;Долиновка;55.11;159.06
32509;Семячик;54.08;159.95
32564;Октябръская;52.66;156.22
32583;Петропавловск-Камчатск. II;52.98;158.65
34009;Курск;51.65;36.18
34123;Воронеж II;51.7;39.21
34152;Балашов;51.55;43.15
34171;Саратов;51.56;46.03
34214;Белгород;50.58;36.58
34363;Камышин;50.07;45.41
34560;Волгоград I;48.68;44.35
34581;Урда;48.75;47.43
34730;Ростов-На-Дону I;47.25;39.81
34866;Яшкуль;46.18;45.35
34880;Астрахань;46.28;48.05
34929;Краснодар;45.03;39.15
34954;Светлоград;45.35;42.85
35121;Оренбург;51.75;55.1
36034;Рубцовск;51.5;81.21
36061;Турочак;52.26;87.16
36096;Кызыл;51.71;94.5
36104;Сарыг-Сеп;51.5;95.56
37006;Новороссийск;44.71;37.84
37054;Минеральные Воды;44.21;43.1
37085;Кочубей;44.4;46.55
37171;Адлер;43.43;39.9
37212;Нальчик;43.5;43.61
37228;Владикавказ;43.05;44.65
37235;Грозный;43.34;45.67
37472;Махачкала;43.01;47.43
29998;Орлик I;52.5;99.81
22114;Мурмаши;68.81;32.8
22204;Ковдор;67.56;30.38
22217;Кандалакша;67.13;32.43
22235;Красноселье;67.35;37.05
22324;Умба;66.68;34.35
22408;Калевала;65.21;31.16
22522;Кемь-Порт;64.98;34.8
22559;Холмогоры;64.21;41.66
22573;Лешуконское;64.9;45.76
22602;Реболы;63.83;30.81
22656;Емецк;63.46;41.75
22671;Карпогоры;63.98;44.45
22695;Кослан;63.45;48.9
22749;Конево;62.13;39.3
22802;Сортовала;61.71;30.71
22831;Пудож;61.8;36.55
22837;Вытегра;61.01;36.45
22854;Няндома;61.66;40.18
22891;Сосново;60.55;30.31
22892;Выборг;60.71;28.8
22913;Лодейное Поле;60.71;33.55
22925;Винницы;60.63;34.78
22939;Белозерск;60.03;37.78
22954;Вожега;60.46;40.2
23358;Новый Уренгой;66.06;76.47
23471;Нижневартовск;60.85;76.61
23503;Ижма;65;53.91
23527;Саранпауль;64.28;60.88
23612;Вуктыл;63.83;57.33
23629;Игрим;63.23;64.55
23631;Березово;63.93;65.05
23635;Юильск;63.66;69.65
23657;Ноябрьск;63.07;75.17
23724;Няксиммволь;62.43;60.86
23734;Октябрьское;62.45;66.05
23748;Когалым;62.23;74.48
23758;Радужный;62.09;77.2
23776;Бахта;62.46;89
23823;Воньеган;61.91;64.91
23847;Сытомино;61.3;71.16
23867;Ларьяк;61.26;80.05
23884;Бор;61.6;90.01
23919;Североуральск;60.16;59.98
23927;Понил;60.2;61.28
23929;Шаим;60.31;64.21
23939;Алтай;60.33;69.96
23946;Угут;60.5;74.01
23953;Ваховск;60.94;78.76
23973;Ворогово;61;89.75
23982;Вельмо;61.01;93.41
23986;Северо-Енисейск;60.38;93.03
23987;Ярцево;60.25;90.23
24790;Сусуман;62.78;148.16
24796;Ягодное;62.51;149.61
24799;Джека Лондона;62.1;149.5
24898;Усть-Омчуг;61.13;149.63
25145;Бараниха;68.53;168.25
25147;Билибино;68;166.5
25151;Чаун;68.88;170.78
25248;Илирней;67.33;168.23
25561;Танюрер;64.86;174.41
25611;Балыгычан;63.91;154.1
25700;Совхоз Эльген;62.8;150.66
25705;Средникан;62.44;152.31
25707;Бохапча;62.1;150.68
25715;Омсукчан;62.51;155.78
25808;Талая;61.13;152.38
25904;Мадаун;60.6;150.69
25907;Палатка;60.1;150.93
25912;Ола;59.56;151.28
25914;Армань;59.66;150.13
25927;Брохово;59.65;154.26
25941;Чемурнаут;60.73;163.01
26059;Кингисепп;59.36;28.6
26080;Кириши;59.45;32.03
26094;Тихвин;59.65;33.5
26167;Николаевское;58.56;29.8
26268;Дно;57.81;29.95
26298;Бологое;57.9;34.05
26389;Осташков;57.13;33.11
26393;Вышний Волочек;57.58;34.56
26498;Ржев;56.26;34.31
26499;Старица;56.5;34.93
26585;Белый;55.85;32.95
26695;Вязьма;55.23;34.31
26795;Спас-Деменск;54.41;34.01
26882;Рославль;53.96;32.84
26894;Жуковка;53.53;33.71
26896;Жиздра;53.75;34.73
26976;Красная Гора;53.01;31.6
26985;Унеча;52.83;32.66
26997;Трубчевск;52.58;33.76
27008;Бабаево;59.4;35.93
27066;Никольск;59.53;45.46
27164;Кологрив;58.83;44.28
27174;Пыщуг;58.88;45.75
27176;Вохма;58.93;46.76
27185;Даровское;58.76;47.98
27208;Максатиха;57.8;35.88
27215;Красный Холм;58.06;37.15
27223;Пошехонье-Володарск;58.48;39.13
27252;Николо-Полома;58.35;43.38
27277;Ветлуга;57.85;45.8
27281;Шабалино;58.3;47.11
27296;Кумены;58.13;49.93
27316;Кашин;57.35;37.58
27329;Ростов;57.2;39.41
27344;Приволжск;57.38;41.26
27346;Кинешма;57.45;42.16
27369;Красные Баки;57.1;45.18
27373;Шахунья;57.66;46.63
27385;Яранск;57.36;47.91
27393;Нолинск;57.55;49.9
27401;Торжок;57.02;35.01
27425;Переславль-Залесский;56.71;38.83
27428;Александров;56.4;38.75
27437;Юрьев-Польский;56.48;39.68
27453;Волжская;56.65;43.28
27463;Воскресенское;56.81;45.43
27491;Новый Торьял;57;48.73
27498;Морки;56.43;49.01
27507;Гагарин;55.51;35.03
27509;Можайск;55.51;36
27515;Немчиновка;55.7;37.37
27526;Петушки;55.93;39.46
27539;Гусь-Хрустальный;55.61;40.65
27543;Вязники;56.2;42.16
27555;Павлово;55.94;43.03
27563;Лысково;56.01;45.02
27577;Сергач;55.53;45.5
27587;Канаш;55.51;47.46
27615;Павловское;55.46;37.31
27636;Тума;55.13;40.55
27643;Выкса;55.31;42.21
27653;Арзамас;55.38;43.71
27665;Лукоянов;55.03;44.5
27683;Большие Кайбицы;55.4;48.18
27693;Лаишево;55.4;49.55
27697;Тетюши;54.95;48.81
27704;Мосальск;54.5;35.01
27707;Сухиничи;54.1;35.35
27745;Сасово;54.35;41.96
27752;Темников;54.63;43.18
27758;Торбеево;54.08;43.25
27817;Мценск;53.28;36.58
27823;Павелец;53.78;39.25
27835;Ряжск;53.8;40.11
27848;Моршанск;53.45;41.8
27901;Карачев;53.13;35
27923;Лев Толстой;53.21;39.46
27928;Елец;52.63;38.51
27935;Мичуринск;52.88;40.48
27957;Кирсанов;52.66;42.71
28007;Нагорское;59.31;50.83
28009;Кирс;59.33;52.23
28013;Коса;59.95;55
28016;Кочево;59.6;54.46
28029;Березники;59.38;56.6
28036;Кытлым;59.75;59.15
28044;Серов;59.6;60.53
28049;Гари;59.43;62.33
28064;Леуши;59.61;65.78
28076;Демьянское;59.6;69.28
28134;Губаха;58.9;57.5
28144;Верхотурье;58.86;60.78
28158;Таборы;58.53;64.5
28165;Куминская;58.76;66.01
28216;Верещагино;58.08;54.68
28233;Кушва;58.31;59.75
28234;Лысьва;58.11;57.78
28240;Нижний Тагил;57.88;60.06
28248;Алапаевск;57.86;61.7
28264;Тавда;58.05;65.35
28302;Уни;57.75;51.5
28309;Селты;57.28;52.23
28318;Воткинск;57.05;54.03
28326;Кунгур;57.41;56.93
28333;Висим;57.66;59.53
28334;Шамары;57.35;58.21
28344;Невьянск;57.5;60.25
28346;Артемовский;57.4;61.85
28351;Ирбит-Фомино;57.61;62.96
28359;Тугулым;57.06;64.66
28383;Тевриз;57.51;72.4
28402;Кильмезь;56.94;51.06
28409;Можга;56.43;52.2
28428;Чернушка;56.5;56.13
28430;Ревда;56.88;59.98
28432;Бисерть;56.88;59.06
28434;Красноуфимск;56.61;57.75
28438;Михайловск;56.43;59.08
28444;Кольцово;56.73;60.83
28445;Верхнее Дуброво;56.73;61.06
28448;Сысерть;56.5;60.81
28449;Каменск-Уральский;56.43;61.86
28451;Камышлов;56.85;62.71
28456;Шатрово;56.53;64.68
28457;Далматово;56.26;62.93
28465;Ялуторовск;56.68;66.35
28478;Голышманово;56.41;68.41
28481;Викулово;56.81;70.61
28491;Большие Уки;56.93;72.66
